id,address_state,application_type,emp_length,emp_title,grade,home_ownership,last_credit_pull_date,last_payment_date,loan_status,next_payment_date,member_id,purpose,sub_grade,term,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,total_payment,issue_date
1077430,GA,INDIVIDUAL,"< 1 year",Ryder,C,RENT,13-09-2021,13-04-2021,"Charged Off",13-05-2021,1314167,car,C4," 60 months","Source Verified",30000,0.01,59.83,0.1527,2500,4,1009,2021-02-11
1072053,CA,INDIVIDUAL,"9 years","MKC Accounting",E,RENT,14-12-2021,15-01-2021,"Fully Paid",15-02-2021,1288686,car,E1," 36 months","Source Verified",48000,0.0535,109.43,0.1864,3000,4,3939,2021-01-01
1069243,CA,INDIVIDUAL,"4 years","Chemat Technology Inc",C,RENT,12-12-2021,09-01-2021,"Charged Off",09-02-2021,1304116,car,C5," 36 months","Not Verified",50000,0.2088,421.65,0.1596,12000,11,3522,2021-01-05
1041756,TX,INDIVIDUAL,"< 1 year","barnes distribution",B,MORTGAGE,12-12-2021,12-03-2021,"Fully Paid",12-04-2021,1272024,car,B2," 60 months","Source Verified",42000,0.054,97.06,0.1065,4500,9,4911,2021-02-25
1068350,IL,INDIVIDUAL,"10+ years","J&J Steel Inc",A,MORTGAGE,14-12-2021,15-01-2021,"Fully Paid",15-02-2021,1302971,car,A1," 36 months",Verified,83000,0.0231,106.53,0.0603,3500,28,3835,2021-01-01
1062608,CA,INDIVIDUAL,"3 years","Studio 94 Corp",C,RENT,16-03-2021,12-08-2021,"Fully Paid",12-09-2021,1294481,car,C3," 36 months","Not Verified",28000,0.126,275.96,0.1465,8000,11,8637,2021-07-17
1067441,TX,INDIVIDUAL,"10+ years","American Airlines",C,MORTGAGE,14-06-2021,13-12-2021,"Fully Paid",13-01-2022,1301833,car,C2," 36 months",Verified,94800,0.2453,205.86,0.1427,6000,30,7218,2021-11-19
1066424,PA,INDIVIDUAL,"10+ years","SCI Mahanoy",A,OWN,14-07-2021,14-07-2021,"Fully Paid",14-08-2021,1291243,car,A4," 36 months","Source Verified",59000,0.0665,172.1,0.079,5500,23,6172,2021-06-11
1065254,FL,INDIVIDUAL,"10+ years","Tech Data Corp",A,MORTGAGE,15-06-2021,12-10-2021,"Charged Off",12-11-2021,1299335,car,A5," 36 months",Verified,116400,0.0394,762.08,0.089,24000,31,8650,2021-09-02
1064589,MI,INDIVIDUAL,"10+ years","teltow contracting",B,MORTGAGE,16-03-2021,16-03-2021,"Fully Paid",16-04-2021,1298401,car,B5," 60 months","Not Verified",36000,0.1773,93.21,0.1269,4125,21,5551,2021-02-09
1057766,TX,INDIVIDUAL,"10+ years",Ericsson,B,MORTGAGE,13-09-2021,13-08-2021,"Fully Paid",13-09-2021,1289131,car,B5," 36 months","Not Verified",75000,0.088,181.15,0.1269,5400,33,6277,2021-07-22
1062734,CA,INDIVIDUAL,"3 years",myrvpartsplace.com,B,RENT,13-03-2021,12-10-2021,"Charged Off",12-11-2021,1295018,car,B4," 36 months","Not Verified",75000,0.2288,374.26,0.1242,11200,13,4225,2021-09-11
1062654,CA,INDIVIDUAL,"4 years","AEG LIVE",B,RENT,13-10-2021,13-09-2021,"Fully Paid",13-10-2021,1294929,car,B3," 36 months","Not Verified",35000,0.0401,165.38,0.1171,5000,3,5728,2021-08-11
1020855,CA,INDIVIDUAL,"5 years","henkel corporation",B,RENT,14-12-2021,14-12-2021,"Fully Paid",14-01-2022,1249642,car,B5," 36 months","Not Verified",48000,0.1533,268.36,0.1269,8000,15,9661,2021-12-11
1060945,IL,INDIVIDUAL,"4 years","AXA Assistance",B,RENT,14-12-2021,14-12-2021,"Fully Paid",14-01-2022,1293124,car,B4," 36 months","Not Verified",92000,0.106,200.5,0.1242,6000,18,7218,2021-10-11
1060995,RI,INDIVIDUAL,"< 1 year",HSA-UWC,B,RENT,14-02-2021,13-10-2021,"Charged Off",13-11-2021,1292578,car,B4," 36 months","Source Verified",60000,0.063,400.99,0.1242,12000,14,9547,2021-12-11
1046507,TX,INDIVIDUAL,"1 year","Child's Day",B,RENT,16-04-2021,14-12-2021,"Fully Paid",14-01-2022,1277552,car,B1," 36 months",Verified,16800,0.035,98.29,0.0991,3050,8,3538,2021-12-02
1059936,NY,INDIVIDUAL,"4 years","OEC Freight",C,RENT,15-09-2021,12-11-2021,"Fully Paid",12-12-2021,1291775,car,C2," 36 months","Source Verified",40000,0.1869,343.09,0.1427,10000,7,11156,2021-10-09
1059497,FL,INDIVIDUAL,"10+ years","Sandestin Beach Hilton",B,MORTGAGE,14-12-2021,14-12-2021,"Fully Paid",14-01-2022,1291322,car,B2," 36 months",Verified,35000,0.1392,162.87,0.1065,5000,23,5863,2021-12-12
1058060,MD,INDIVIDUAL,"10+ years",,D,OWN,16-05-2021,15-02-2021,"Fully Paid",15-03-2021,1289636,car,D1," 36 months","Not Verified",40000,0.0957,176.51,0.1629,5000,13,6361,2021-02-02
112245,WI,INDIVIDUAL,"6 years","Norman G. Olson Insurance",A,RENT,16-04-2021,10-08-2021,"Fully Paid",10-09-2021,112227,car,A2," 36 months","Not Verified",40000,0.0255,155.38,0.0743,5000,7,5594,2021-07-07
207910,FL,INDIVIDUAL,"< 1 year",,A,MORTGAGE,16-05-2021,10-02-2021,"Charged Off",10-03-2021,183496,car,A2," 36 months","Not Verified",120000,0.0767,69.14,0.0743,2225,20,2508,2021-01-08
65426,MI,INDIVIDUAL,"< 1 year","Infotrieve, Inc.",B,MORTGAGE,16-05-2021,11-06-2021,"Charged Off",11-07-2021,232106,car,B1," 36 months","Not Verified",60000,0.1108,131.22,0.1114,4000,33,2755,2021-08-09
211723,MD,INDIVIDUAL,"4 years","self employed",C,OWN,09-12-2021,08-08-2021,"Charged Off",08-09-2021,211606,car,C2," 36 months","Not Verified",72000,0.0512,262.26,0.1109,8000,8,2135,2021-01-08
662350,NV,INDIVIDUAL,"10+ years","Clark County School District",A,MORTGAGE,13-02-2021,12-08-2021,"Charged Off",12-09-2021,847024,car,A5," 36 months","Not Verified",70800,0.0795,77.95,0.0766,2500,39,1479,2021-01-11
1006769,PA,INDIVIDUAL,"6 years","The Mount Sinai School of Medicine",A,MORTGAGE,13-11-2021,13-06-2021,"Charged Off",13-07-2021,1233120,car,A3," 36 months","Not Verified",80000,0.0648,124.45,0.0751,4000,11,2479,2021-11-11
